Agency,Name,Position,Remuneration,Expenses,Year,Sector
Vancouver police (VPD),,Police Constable,162991,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,163027,0,2021,Municipal Police
Vancouver police (VPD),"Sideroff, T.",Inspector,163077,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,163131,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,163554,3481,2021,Municipal Police
Vancouver police (VPD),,Police Constable,163581,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,163666,6874,2021,Municipal Police
Vancouver police (VPD),,Police Constable,163687,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,163732,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,164209,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,164316,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,164410,325,2021,Municipal Police
Vancouver police (VPD),,Sergeant,164438,237,2021,Municipal Police
Vancouver police (VPD),,Police Constable,164489,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,164516,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,164586,1141,2021,Municipal Police
Vancouver police (VPD),,Police Constable,164904,0,2021,Municipal Police
Vancouver police (VPD),"Tran, T.",Inspector,165010,1050,2021,Municipal Police
Vancouver police (VPD),,Sergeant,165333,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,165394,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,165397,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,165455,1048,2021,Municipal Police
Vancouver police (VPD),"Gill, J.",Strategic Research & Policy Advisor,165537,631,2021,Municipal Police
Vancouver police (VPD),"Andersen, E.",Inspector,165637,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,165735,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant (Wse),166023,5469,2021,Municipal Police
Vancouver police (VPD),,Police Constable,166276,0,2021,Municipal Police
Vancouver police (VPD),,Staff Sergeant,166287,5387,2021,Municipal Police
Vancouver police (VPD),,Sergeant,166308,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,166321,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,166662,724,2021,Municipal Police
Vancouver police (VPD),,Police Constable,166684,144,2021,Municipal Police
Vancouver police (VPD),,Police Constable,166797,55,2021,Municipal Police
Vancouver police (VPD),,Sergeant,167294,358,2021,Municipal Police
Vancouver police (VPD),,Police Constable,167514,0,2021,Municipal Police
Vancouver police (VPD),,Staff Sergeant (T.),167767,113,2021,Municipal Police
Vancouver police (VPD),,Police Constable,168052,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,168309,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,168367,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant (T.),168399,259,2021,Municipal Police
Vancouver police (VPD),,Police Constable,168418,325,2021,Municipal Police
Vancouver police (VPD),,Police Constable,168480,2957,2021,Municipal Police
Vancouver police (VPD),"Laurin, A.",Superintendent (Sec.),168502,252,2021,Municipal Police
Vancouver police (VPD),,Police Constable,168577,1106,2021,Municipal Police
Vancouver police (VPD),,Sergeant,168706,0,2021,Municipal Police
Vancouver police (VPD),"Hiar, G.",Inspector,168836,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,168872,16,2021,Municipal Police
Vancouver police (VPD),"Yung, T.",Inspector,168983,1251,2021,Municipal Police
Vancouver police (VPD),,Police Constable,169327,2042,2021,Municipal Police
Vancouver police (VPD),,Sergeant,169488,461,2021,Municipal Police
Vancouver police (VPD),,Police Constable,169689,47,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),169859,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,170085,6567,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),170219,16,2021,Municipal Police
Vancouver police (VPD),,Police Constable,170255,0,2021,Municipal Police
Vancouver police (VPD),"Deans, S.",Inspector,170346,42,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),170487,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant (Sec.),170618,53,2021,Municipal Police
Vancouver police (VPD),,Police Constable,170635,0,2021,Municipal Police
Vancouver police (VPD),"Kim, M.",Inspector,170811,1050,2021,Municipal Police
Vancouver police (VPD),,Sergeant (T.),171109,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,171117,358,2021,Municipal Police
Vancouver police (VPD),,Sergeant,171195,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,171228,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,171550,1671,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),172071,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,173004,876,2021,Municipal Police
Vancouver police (VPD),,Sergeant,173145,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,173302,0,2021,Municipal Police
Vancouver police (VPD),,Staff Sergeant,173411,144,2021,Municipal Police
Vancouver police (VPD),,Sergeant,173581,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,173616,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,173748,16349,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T.),173797,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,174173,0,2021,Municipal Police
Vancouver police (VPD),"Derksen, B.",Inspector (T.),174456,9816,2021,Municipal Police
Vancouver police (VPD),"High, J.",Inspector (Wse) (Sec.),174622,386,2021,Municipal Police
Vancouver police (VPD),,Police Constable,174674,119,2021,Municipal Police
Vancouver police (VPD),,Police Constable,174949,42,2021,Municipal Police
Vancouver police (VPD),"Collins, K.",Emergency Planning Policy Advisor,174987,3498,2021,Municipal Police
Vancouver police (VPD),,Police Constable,175038,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,175214,3307,2021,Municipal Police
Vancouver police (VPD),,Sergeant,175230,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,175347,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,175609,650,2021,Municipal Police
Vancouver police (VPD),,Police Constable,175940,50,2021,Municipal Police
Vancouver police (VPD),,Police Constable,175976,119,2021,Municipal Police
Vancouver police (VPD),,Sergeant,176014,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),176032,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant (Sec.),176242,325,2021,Municipal Police
Vancouver police (VPD),,Sergeant,176366,119,2021,Municipal Police
Vancouver police (VPD),,Sergeant,176475,445,2021,Municipal Police
Vancouver police (VPD),,Sergeant,176541,0,2021,Municipal Police
Vancouver police (VPD),"Flewelling, J.",Inspector,176896,9740,2021,Municipal Police
Vancouver police (VPD),,Police Constable,177026,2513,2021,Municipal Police
Vancouver police (VPD),,Police Constable,177044,126,2021,Municipal Police
Vancouver police (VPD),"Wooldridge, M.",Inspector (T.),177125,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,177359,7997,2021,Municipal Police
Vancouver police (VPD),,Police Constable,177510,16,2021,Municipal Police
Vancouver police (VPD),,Police Constable,177933,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,178047,95,2021,Municipal Police
Vancouver police (VPD),,Police Constable,178354,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,178482,0,2021,Municipal Police
Vancouver police (VPD),"Bernardin, K.",Inspector,178890,18507,2021,Municipal Police
Vancouver police (VPD),,Police Constable,178896,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,179102,63,2021,Municipal Police
Vancouver police (VPD),"Whysker, T.",Superintendent,179270,1381,2021,Municipal Police
Vancouver police (VPD),"Horne, S.",Superintendent (T.),179293,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,179428,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),179659,0,2021,Municipal Police
Vancouver police (VPD),"Pederson, E.",Forensic Firearm & Toolmark Examiner Ii,179886,3655,2021,Municipal Police
Vancouver police (VPD),,Police Constable,180092,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,180660,0,2021,Municipal Police
Vancouver police (VPD),"Heard, M.",Inspector (Sec.),180819,155,2021,Municipal Police
Vancouver police (VPD),,Police Constable,180849,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,181140,0,2021,Municipal Police
Vancouver police (VPD),"Rude, J.",Senior Director0Information Services,181180,667,2021,Municipal Police
Vancouver police (VPD),,Police Constable,181264,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,181422,144,2021,Municipal Police
Vancouver police (VPD),"Purdy, M.",Inspector,181461,0,2021,Municipal Police
Vancouver police (VPD),,Staff Sergeant,181889,367,2021,Municipal Police
Vancouver police (VPD),"Yee, C.",Inspector,181931,113,2021,Municipal Police
Vancouver police (VPD),,Sergeant,183877,4889,2021,Municipal Police
Vancouver police (VPD),,Sergeant,183959,1115,2021,Municipal Police
Vancouver police (VPD),"Fincham, R.",Inspector,184261,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,184597,280,2021,Municipal Police
Vancouver police (VPD),,Police Constable,184872,119,2021,Municipal Police
Vancouver police (VPD),,Police Constable,185682,1127,2021,Municipal Police
Vancouver police (VPD),"Noftle, B.",Superintendent,185760,480,2021,Municipal Police
Vancouver police (VPD),"Newman, G.",Inspector,185769,412,2021,Municipal Police
Vancouver police (VPD),"Heard, P.",Inspector,186208,113,2021,Municipal Police
Vancouver police (VPD),,Sergeant,186535,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,186606,47,2021,Municipal Police
Vancouver police (VPD),,Sergeant,186944,0,2021,Municipal Police
Vancouver police (VPD),"Eng, N.",Senior Director0Financial Svc,187016,1000,2021,Municipal Police
Vancouver police (VPD),,Sergeant,187080,953,2021,Municipal Police
Vancouver police (VPD),"Hurwitz, D.",Legal Counsel,187474,1127,2021,Municipal Police
Vancouver police (VPD),,Sergeant,187558,1918,2021,Municipal Police
Vancouver police (VPD),,Sergeant,187746,0,2021,Municipal Police
Vancouver police (VPD),"Keyes, J.",Superintendent (Wse) (Sec.),188606,3191,2021,Municipal Police
Vancouver police (VPD),,Police Constable,188614,63,2021,Municipal Police
Vancouver police (VPD),"Thomas, T.",Inspector (Sec.),189038,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,189215,119,2021,Municipal Police
Vancouver police (VPD),,Police Constable,189244,84,2021,Municipal Police
Vancouver police (VPD),,Police Constable,189439,850,2021,Municipal Police
Vancouver police (VPD),,Police Constable,189515,0,2021,Municipal Police
Vancouver police (VPD),"Wild, J.",Inspector,189884,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,190070,70,2021,Municipal Police
Vancouver police (VPD),,Sergeant,190086,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,190212,0,2021,Municipal Police
Vancouver police (VPD),"Bell, R.",Inspector,190225,7679,2021,Municipal Police
Vancouver police (VPD),,Sergeant,190635,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,190665,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant (Sec.),191257,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,191547,0,2021,Municipal Police
Vancouver police (VPD),"Eng, K.",Inspector,192745,0,2021,Municipal Police
Vancouver police (VPD),,Staff Sergeant,192874,3473,2021,Municipal Police
Vancouver police (VPD),,Sergeant,193324,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,193953,1195,2021,Municipal Police
Vancouver police (VPD),"Tran, H.",Superintendent,194084,9447,2021,Municipal Police
Vancouver police (VPD),"Muir, S.",Inspector,194286,3133,2021,Municipal Police
Vancouver police (VPD),"Byrne, L.",Superintendent,194342,7138,2021,Municipal Police
Vancouver police (VPD),,Police Constable,194939,4192,2021,Municipal Police
Vancouver police (VPD),"Burmachuk, T.",Inspector,196555,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,196885,119,2021,Municipal Police
Vancouver police (VPD),,Police Constable,197249,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,197322,2935,2021,Municipal Police
Vancouver police (VPD),,Sergeant (T.),197532,92,2021,Municipal Police
Vancouver police (VPD),,Police Constable,198380,63,2021,Municipal Police
Vancouver police (VPD),"Clarke, R.",Inspector,198422,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,199413,5373,2021,Municipal Police
Vancouver police (VPD),"Wrathall, K.",Inspector,199472,3230,2021,Municipal Police
Vancouver police (VPD),"Spearn, W.",Superintendent,199533,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,199591,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,200536,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,200686,119,2021,Municipal Police
Vancouver police (VPD),,Staff Sergeant,201014,63,2021,Municipal Police
Vancouver police (VPD),"Upton, I.",Inspector,201427,0,2021,Municipal Police
Vancouver police (VPD),"Addison, S.",Sergeant,201986,790,2021,Municipal Police
Vancouver police (VPD),,Police Constable,202327,1360,2021,Municipal Police
Vancouver police (VPD),,Police Constable,203892,5508,2021,Municipal Police
Vancouver police (VPD),,Sergeant,204428,4618,2021,Municipal Police
Vancouver police (VPD),,Police Constable,205603,0,2021,Municipal Police
Vancouver police (VPD),"Bruce, M.",Superintendent,206395,480,2021,Municipal Police
Vancouver police (VPD),,Sergeant,208246,0,2021,Municipal Police
Vancouver police (VPD),"Weidman, D.",Inspector,208606,113,2021,Municipal Police
Vancouver police (VPD),,Sergeant,208805,0,2021,Municipal Police
Vancouver police (VPD),"Harris, J.",Inspector,208810,790,2021,Municipal Police
Vancouver police (VPD),"Harty, M.",Inspector,210766,0,2021,Municipal Police
Vancouver police (VPD),"Chapman, D.",Superintendent,212259,26,2021,Municipal Police
Vancouver police (VPD),,Police Constable,213397,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,214361,3618,2021,Municipal Police
Vancouver police (VPD),"Chan, A.",Superintendent,215834,545,2021,Municipal Police
Vancouver police (VPD),,Police Constable,215851,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,217391,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,219560,0,2021,Municipal Police
Vancouver police (VPD),"Eely, S.",Superintendent,221968,0,2021,Municipal Police
Vancouver police (VPD),"Forsberg, V.",Inspector,224203,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,228663,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,229783,40,2021,Municipal Police
Vancouver police (VPD),,Police Constable,229980,0,2021,Municipal Police
Vancouver police (VPD),"Wilson, F.",Deputy Chief Constable,233560,11272,2021,Municipal Police
Vancouver police (VPD),,Sergeant,235763,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant (T.),237102,8570,2021,Municipal Police
Vancouver police (VPD),,Police Constable,240558,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),249101,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,250009,944,2021,Municipal Police
Vancouver police (VPD),,Sergeant,252765,0,2021,Municipal Police
Vancouver police (VPD),"Rai, S.",Deputy Chief Constable,260703,3,2021,Municipal Police
Vancouver police (VPD),"Chow, H.",Deputy Chief Constable,273685,3120,2021,Municipal Police
Vancouver police (VPD),,Police Constable,308046,0,2021,Municipal Police
Vancouver police (VPD),"Palmer, A.",Chief Constable,378368,6298,2021,Municipal Police
Victoria police,"Salholm,  K",Civilian,75884,0,2020,Municipal Police
Victoria police,"Comis,  L",Special Constable,76444,0,2020,Municipal Police
Victoria police,"Edmonds,  M",Special Constable,76811,0,2020,Municipal Police
Victoria police,"Rowsell,  M",Civilian,76849,0,2020,Municipal Police
Victoria police,"Gilroy-Scott,  T",Civilian,77140,0,2020,Municipal Police
Victoria police,"Godden,  A",Civilian,77257,0,2020,Municipal Police
Victoria police,"Hinrichsen,  E",Special Constable,77715,0,2020,Municipal Police
Victoria police,"Macintyre,  C",Constable,78142,0,2020,Municipal Police
Victoria police,,Constable,78489,0,2020,Municipal Police
Victoria police,,Constable,79013,0,2020,Municipal Police
Victoria police,,Constable,79162,0,2020,Municipal Police
Victoria police,,Constable,79319,0,2020,Municipal Police
Victoria police,"Mackenzie,  C",Civilian,79617,0,2020,Municipal Police
Victoria police,,Constable,80233,0,2020,Municipal Police
Victoria police,"Piano,  S",Civilian,80247,0,2020,Municipal Police
Victoria police,"Dumouchel,  C",Civilian,80375,0,2020,Municipal Police
Victoria police,,Constable,80403,0,2020,Municipal Police
Victoria police,,Constable,80742,0,2020,Municipal Police
Victoria police,"Minnick,  T",Civilian,80978,0,2020,Municipal Police
Victoria police,,Constable,81148,0,2020,Municipal Police
Victoria police,"Willson,  L",Civilian,81538,0,2020,Municipal Police
Victoria police,,Constable,82064,1726,2020,Municipal Police
Victoria police,,Constable,83720,0,2020,Municipal Police
Victoria police,"Taylor,  E",Civilian,84297,0,2020,Municipal Police
Victoria police,"Hesser,  N",Civilian,84584,0,2020,Municipal Police
Victoria police,,Constable,86807,0,2020,Municipal Police
Victoria police,"Hira,  K",Civilian,88635,0,2020,Municipal Police
Victoria police,"Hennessy,  M",Civilian,88664,0,2020,Municipal Police
Victoria police,,Constable,88667,0,2020,Municipal Police
Victoria police,,Constable,88879,0,2020,Municipal Police
Victoria police,"Simard,  H",Civilian,88988,0,2020,Municipal Police
Victoria police,"Hagedorn,  D",Civilian,89009,0,2020,Municipal Police
Victoria police,,Constable,89619,0,2020,Municipal Police
Victoria police,,Constable,90292,0,2020,Municipal Police
Victoria police,"Lajoie,  P",Civilian,90632,0,2020,Municipal Police
Victoria police,,Constable,90930,0,2020,Municipal Police
Victoria police,,Sergeant,91988,0,2020,Municipal Police
Victoria police,"Thomson,  C",Civilian,92850,0,2020,Municipal Police
Victoria police,,Constable,93031,0,2020,Municipal Police
Victoria police,"Dhillon,  M",Civilian,93167,0,2020,Municipal Police
Victoria police,"Lonsdale,  R",Civilian,93167,0,2020,Municipal Police
Victoria police,,Constable,93301,0,2020,Municipal Police
Victoria police,,Constable,93392,681,2020,Municipal Police
Victoria police,,Constable,93448,0,2020,Municipal Police
Victoria police,,Constable,94175,0,2020,Municipal Police
Victoria police,,Constable,94724,0,2020,Municipal Police
Victoria police,,Constable,94950,1126,2020,Municipal Police
Victoria police,,Constable,95142,0,2020,Municipal Police
Victoria police,,Constable,96036,55,2020,Municipal Police
Victoria police,"Jarvis, L",Civilian,96366,0,2020,Municipal Police
Victoria police,,Constable,97326,0,2020,Municipal Police
Victoria police,,Constable,98213,0,2020,Municipal Police
Victoria police,,Constable,98388,0,2020,Municipal Police
Victoria police,,Constable,99159,0,2020,Municipal Police
Victoria police,"Zanette,  R",Civilian,99579,0,2020,Municipal Police
Victoria police,,Sergeant,100604,0,2020,Municipal Police
Victoria police,"Cheng,  W",Civilian,100731,0,2020,Municipal Police
Victoria police,,Constable,100978,0,2020,Municipal Police
Victoria police,,Constable,101548,0,2020,Municipal Police
Victoria police,,Constable,101924,36,2020,Municipal Police
Victoria police,,Constable,102656,0,2020,Municipal Police
Victoria police,,Constable,103111,55,2020,Municipal Police
Victoria police,,Constable,104805,36,2020,Municipal Police
Victoria police,,Constable,105275,0,2020,Municipal Police
Victoria police,,Constable,105931,0,2020,Municipal Police
Victoria police,,Sergeant,106405,0,2020,Municipal Police
Victoria police,,Constable,106519,0,2020,Municipal Police
Victoria police,,Constable,108007,0,2020,Municipal Police
Victoria police,,Constable,108050,0,2020,Municipal Police
Victoria police,,Constable,109137,0,2020,Municipal Police
Victoria police,,Constable,109361,2328,2020,Municipal Police
Victoria police,,Constable,110715,1492,2020,Municipal Police
Victoria police,,Constable,110789,150,2020,Municipal Police
Victoria police,,Constable,111332,0,2020,Municipal Police
Victoria police,,Constable,111786,1900,2020,Municipal Police
Victoria police,"Moran,  B",Civilian,111886,0,2020,Municipal Police
Victoria police,,Constable,112454,0,2020,Municipal Police
Victoria police,,Constable,114283,1050,2020,Municipal Police
Victoria police,,Constable,114544,157,2020,Municipal Police
Victoria police,,Constable,114672,0,2020,Municipal Police
Victoria police,,Constable,114728,0,2020,Municipal Police
Victoria police,,Constable,114736,620,2020,Municipal Police
Victoria police,,Constable,114990,0,2020,Municipal Police
Victoria police,,Constable,115409,0,2020,Municipal Police
Victoria police,,Constable,115731,150,2020,Municipal Police
Victoria police,,Constable,116152,92,2020,Municipal Police
Victoria police,"Taylor,  D","Manager, Info/Privacy & Legal Services",116276,0,2020,Municipal Police
Victoria police,,Constable,116540,656,2020,Municipal Police
Victoria police,,Constable,116560,0,2020,Municipal Police
Victoria police,,Constable,116624,21,2020,Municipal Police
Victoria police,,Constable,117264,0,2020,Municipal Police
Victoria police,,Constable,117311,0,2020,Municipal Police
Victoria police,,Constable,117382,4115,2020,Municipal Police
Victoria police,,Constable,117467,1900,2020,Municipal Police
Victoria police,,Constable,117786,851,2020,Municipal Police
Victoria police,,Constable,117927,1359,2020,Municipal Police
Victoria police,,Constable,118388,20,2020,Municipal Police
Victoria police,,Constable,118888,178,2020,Municipal Police
Victoria police,,Constable,119058,0,2020,Municipal Police
Victoria police,"Phillips,  D","Manager, Info. Technology",119114,0,2020,Municipal Police
Victoria police,,Constable,119502,0,2020,Municipal Police
Victoria police,,Constable,119505,0,2020,Municipal Police
Victoria police,,Constable,119510,849,2020,Municipal Police
Victoria police,,Constable,119701,0,2020,Municipal Police
Victoria police,,Constable,120355,953,2020,Municipal Police
Victoria police,,Constable,121139,71,2020,Municipal Police
Victoria police,,Constable,121344,0,2020,Municipal Police
Victoria police,,Constable,121721,3799,2020,Municipal Police
Victoria police,,Constable,121787,140,2020,Municipal Police
Victoria police,,Constable,121787,180,2020,Municipal Police
Victoria police,,Constable,121971,0,2020,Municipal Police
Victoria police,,Constable,122017,0,2020,Municipal Police
Victoria police,,Sergeant,122170,977,2020,Municipal Police
Victoria police,,Constable,122533,415,2020,Municipal Police
Victoria police,,Constable,122924,0,2020,Municipal Police
Victoria police,,Constable,123026,1179,2020,Municipal Police
Victoria police,,Constable,123510,2297,2020,Municipal Police
Victoria police,,Constable,123648,120,2020,Municipal Police
Victoria police,,Constable,123655,906,2020,Municipal Police
Victoria police,,Constable,124022,1037,2020,Municipal Police
Victoria police,,Constable,124137,0,2020,Municipal Police
Victoria police,,Constable,124196,0,2020,Municipal Police
Victoria police,,Constable,124311,0,2020,Municipal Police
Victoria police,,Constable,124335,846,2020,Municipal Police
Victoria police,,Constable,124456,2344,2020,Municipal Police
Victoria police,,Constable,124724,0,2020,Municipal Police
Victoria police,,Constable,124903,0,2020,Municipal Police
Victoria police,,Constable,125245,36,2020,Municipal Police
Victoria police,,Constable,125355,0,2020,Municipal Police
Victoria police,"Kosich,  K","Manager, Human Resources",125439,0,2020,Municipal Police
Victoria police,,Constable,125551,0,2020,Municipal Police
Victoria police,,Constable,125776,36,2020,Municipal Police
Victoria police,,Constable,125789,431,2020,Municipal Police
Victoria police,,Constable,125895,0,2020,Municipal Police
Victoria police,,Constable,126048,0,2020,Municipal Police
Victoria police,,Constable,126348,0,2020,Municipal Police
Victoria police,,Constable,126390,0,2020,Municipal Police
Victoria police,,Constable,126471,245,2020,Municipal Police
Victoria police,,Constable,126483,0,2020,Municipal Police
Victoria police,,Constable,126541,0,2020,Municipal Police
Victoria police,,Constable,126611,0,2020,Municipal Police
Victoria police,,Constable,126785,0,2020,Municipal Police
Victoria police,,Constable,126959,0,2020,Municipal Police
Victoria police,,Constable,127256,36,2020,Municipal Police
Victoria police,,Constable,127305,0,2020,Municipal Police
Victoria police,,Sergeant,127926,4152,2020,Municipal Police
Victoria police,,Constable,127998,337,2020,Municipal Police
Victoria police,,Constable,128012,119,2020,Municipal Police
Victoria police,,Sergeant,128156,0,2020,Municipal Police
Victoria police,,Constable,128283,36,2020,Municipal Police
Victoria police,,Sergeant,128471,345,2020,Municipal Police
Victoria police,,Sergeant,128732,0,2020,Municipal Police
Victoria police,,Constable,128921,67,2020,Municipal Police
Victoria police,,Constable,128928,3595,2020,Municipal Police
Victoria police,,Constable,129032,2652,2020,Municipal Police
Victoria police,,Constable,129578,1450,2020,Municipal Police
Victoria police,,Constable,129739,440,2020,Municipal Police
Victoria police,,Constable,129830,1015,2020,Municipal Police
Victoria police,,Constabler,130085,696,2020,Municipal Police
Victoria police,,Constable,130348,75,2020,Municipal Police
Victoria police,,Sergeant,130445,270,2020,Municipal Police
Victoria police,,Constable,130831,0,2020,Municipal Police
Victoria police,,Constable,130982,1582,2020,Municipal Police
Victoria police,,Constable,131057,13615,2020,Municipal Police
Victoria police,,Constable,131437,0,2020,Municipal Police
Victoria police,,Sergeant,131985,2516,2020,Municipal Police
Victoria police,,Sergeant,132229,300,2020,Municipal Police
Victoria police,,Sergeant,132420,0,2020,Municipal Police
Victoria police,,Constable,132435,203,2020,Municipal Police
Victoria police,,Constable,132786,2108,2020,Municipal Police
Victoria police,,Sergeant,132819,0,2020,Municipal Police
Victoria police,,Constable,132935,0,2020,Municipal Police
Victoria police,,Sergeant,132967,2262,2020,Municipal Police
Victoria police,,Constable,133602,0,2020,Municipal Police
Victoria police,,Constable,133636,1495,2020,Municipal Police
Victoria police,,Constable,133842,70,2020,Municipal Police
Victoria police,,Sergeant,133859,1806,2020,Municipal Police
Victoria police,,Constable,134167,0,2020,Municipal Police
Victoria police,,Constable,134390,0,2020,Municipal Police
Victoria police,,Sergeant,134789,0,2020,Municipal Police
Victoria police,,Constable,134924,4,2020,Municipal Police
Victoria police,,Sergeant,135361,0,2020,Municipal Police
Victoria police,,Constable,135449,0,2020,Municipal Police
Victoria police,,Constable,135919,1690,2020,Municipal Police
Victoria police,,Constable,135981,150,2020,Municipal Police
Victoria police,,Constable,136331,0,2020,Municipal Police
Victoria police,,Sergeant,136359,0,2020,Municipal Police
Victoria police,,Constable,136446,0,2020,Municipal Police
Victoria police,,Constable,136494,1766,2020,Municipal Police
Victoria police,,Constable,136723,74,2020,Municipal Police
Victoria police,,Constable,136815,0,2020,Municipal Police
Victoria police,,Constable,137463,0,2020,Municipal Police
Victoria police,,Sergeant,137531,488,2020,Municipal Police
Victoria police,,Sergeant,137956,118,2020,Municipal Police
Victoria police,,Constable,138146,47,2020,Municipal Police
Victoria police,,Constable,139188,0,2020,Municipal Police
Victoria police,,Constable,139543,0,2020,Municipal Police
Victoria police,,Constable,139597,3027,2020,Municipal Police
Victoria police,,Constable,139830,0,2020,Municipal Police
Victoria police,,Constable,139831,0,2020,Municipal Police
Victoria police,,Sergeant,139983,0,2020,Municipal Police
Victoria police,,Constable,140223,0,2020,Municipal Police
Victoria police,,Sergeant,140351,0,2020,Municipal Police
Victoria police,,Constable,140470,1564,2020,Municipal Police
Victoria police,,Sergeant,140776,0,2020,Municipal Police
Victoria police,,Sergeant,141848,0,2020,Municipal Police
Victoria police,,Staff Sergeant,141850,0,2020,Municipal Police
Victoria police,,Constable,142355,0,2020,Municipal Police
Victoria police,,Constable,142735,0,2020,Municipal Police
Victoria police,,Sergeant,143223,0,2020,Municipal Police
Victoria police,,Constable,143402,1945,2020,Municipal Police
Victoria police,,Constable,144875,0,2020,Municipal Police
Victoria police,,Constable,144928,5485,2020,Municipal Police
Victoria police,,Constable,145189,0,2020,Municipal Police
Victoria police,,Constable,145833,0,2020,Municipal Police
Victoria police,,Constable,146267,36,2020,Municipal Police
Victoria police,,Constable,146555,36,2020,Municipal Police
Victoria police,,Staff Sergeant,147893,0,2020,Municipal Police
Victoria police,,Constable,148373,1619,2020,Municipal Police
Victoria police,,Sergeant,148720,115,2020,Municipal Police
Victoria police,,Sergeant,149046,7686,2020,Municipal Police
Victoria police,"Macintyre,  M","Director, Public Affairs",149240,0,2020,Municipal Police
Victoria police,,Constable,149449,17,2020,Municipal Police
Victoria police,,Sergeant,150439,125,2020,Municipal Police
Victoria police,,Staff Sergeant,150572,0,2020,Municipal Police
Victoria police,,Staff Sergeant,150826,2495,2020,Municipal Police
Victoria police,,Constable,151881,3527,2020,Municipal Police
